p,r2_train,rmse_train,mae_train,r2_test,rmse_test,mae_test,model,dataset
0.15,0.9845744494176842,0.02781899077194654,0.016841352276768515,0.9225289684441444,0.06196572472228789,0.04720788763162248,VC,fyn-sh3
0.15,0.903247777136969,0.0696465907521979,0.05337415893031302,0.8957948850364692,0.0725203770489793,0.05644834933164187,CN,fyn-sh3
0.15,0.8713655219333856,0.08081898008327405,0.06255233030848042,0.8297168039614898,0.0939357968924859,0.07357525628026916,LER,fyn-sh3
0.15,0.7063560645009297,0.12930609795730014,0.10322529053514175,0.7079507054124772,0.12908903872070557,0.10374019649827838,Additive,fyn-sh3
0.15,0.8978923139601357,0.0718140470747002,0.055188510279148666,0.8886934799741438,0.07535349148822833,0.05857514636668283,Pairwise,fyn-sh3
0.2,0.9999999999999996,0.0,0.0,0.8870942585050202,0.07579169038971234,0.05800615976403572,MEI,fyn-sh3
0.2,0.9738937295347416,0.03597530308040245,0.024608829137299976,0.9329050723277523,0.0577168450057606,0.043651448841872866,VC,fyn-sh3
0.2,0.9061197766837374,0.06843046847677657,0.05287477863046674,0.8991411668713405,0.0711576705525334,0.05509106036912158,CN,fyn-sh3
0.2,0.8842104744007625,0.0764921398324533,0.05847236977527539,0.8519855583572452,0.08717247519334428,0.06689083358367223,LER,fyn-sh3
0.2,0.7122495958931654,0.1285794657103026,0.10305484739002158,0.7086459190619976,0.13036420922925085,0.10418864739624369,Additive,fyn-sh3
0.2,0.8979892055394142,0.07157479417944831,0.055086857152707294,0.8910425795190363,0.07424081967270016,0.057473549182808045,Pairwise,fyn-sh3
0.2,1.0,0.0,0.0,0.8873610852338497,0.07507254430921001,0.05768471570457002,MEI,fyn-sh3
0.2,0.953578866239259,0.048790300911698864,0.03589904879336018,0.9253887891647097,0.060904436265546584,0.04637493578604718,VC,fyn-sh3
0.2,0.9086275595973994,0.06885095463107675,0.05354207121247641,0.8963136509339849,0.07213329279227254,0.05595501233530764,CN,fyn-sh3
0.2,0.9067168006938167,0.0696635600694344,0.05232275372713425,0.8512324904023465,0.08659675526083926,0.06631225918817772,LER,fyn-sh3
0.2,0.7187588825052891,0.12881537641411875,0.10324957773638828,0.7063961887920984,0.1302221112956129,0.10433985047652526,Additive,fyn-sh3
0.2,0.8999331213273725,0.07231845033331964,0.056278377412514465,0.8871939201688965,0.07555042397808928,0.05864693791092863,Pairwise,fyn-sh3
0.2,1.0,0.0,0.0,0.8892329851517944,0.0751621610750005,0.057417561955724825,MEI,fyn-sh3
0.2,0.9796736057127532,0.03170965463377893,0.021289261751939657,0.9299557975331522,0.059060959085023165,0.04486971659342228,VC,fyn-sh3
0.2,0.9068883585669779,0.06801041742208747,0.05274349319941215,0.8980603844780363,0.07190984482265896,0.055773544860801945,CN,fyn-sh3
0.2,0.9309369492924108,0.05844775940741106,0.04346991652427156,0.871304120399298,0.08057288432026707,0.06157859053132435,LER,fyn-sh3
0.2,0.7060577760506149,0.1294740654994368,0.10406541194430992,0.7087723709931449,0.12988957766449286,0.10417340272136932,Additive,fyn-sh3
0.2,0.8989852572464034,0.07116974479975491,0.0551182793738672,0.8905815631801888,0.07493687132864704,0.058170823032002994,Pairwise,fyn-sh3
0.3,1.0,0.0,0.0,0.9093841451402338,0.06800919112220287,0.05180066133502973,MEI,fyn-sh3
0.3,0.9728748080872074,0.03672846822229335,0.025104472530500844,0.9259336590137871,0.06072026139842567,0.04648477415702992,VC,fyn-sh3
0.3,0.9066499449943145,0.06835072769645306,0.05269224677448081,0.9013277212121767,0.07057140922906309,0.054558726365091195,CN,fyn-sh3
0.3,0.9378759993556645,0.055618011103572625,0.04148144780167036,0.893686350929898,0.07313294477532806,0.055532165547517456,LER,fyn-sh3
0.3,0.7099840909885572,0.12911669607871717,0.10377813273884672,0.7074929901467661,0.1299052428458062,0.10421868065360536,Additive,fyn-sh3
0.3,0.8974970181609571,0.07189765085259743,0.055392641440608265,0.8923178296814356,0.07400320390220243,0.05723983347277475,Pairwise,fyn-sh3
0.3,1.0,0.0,0.0,0.910922528778581,0.06768699989923542,0.05140897697641282,MEI,fyn-sh3
0.3,0.980436578775408,0.03122567010867831,0.020103879942308226,0.9406604455104585,0.05432922405747821,0.04089679272143213,VC,fyn-sh3
0.3,0.9022565031837367,0.06982557335502557,0.05380837494482152,0.9015419308370405,0.07047645124474188,0.054594363265759914,CN,fyn-sh3
0.3,0.9019685640398846,0.0699059494931198,0.05261623628122783,0.866536200216714,0.08206443686829185,0.06262133613083617,LER,fyn-sh3
0.3,0.7069825546334211,0.12971876224913273,0.10403844747648577,0.708297549071351,0.12985836209400375,0.10395492415589157,Additive,fyn-sh3
0.3,0.8923428406005126,0.07358525810236143,0.05671623615021389,0.8915844196853067,0.07429929611566927,0.057528603812411434,Pairwise,fyn-sh3
0.3,0.9999999999999998,0.0,0.0,0.906942579327206,0.06871711268192994,0.05219189273392378,MEI,fyn-sh3
0.3,0.9710141894978751,0.03800461793596625,0.026787431464640403,0.9394284216973766,0.05484611486123061,0.041417459413374394,VC,fyn-sh3
0.3,0.9078391470981866,0.06798739219880277,0.05242310835183441,0.9013314648114883,0.07047674012180101,0.05449689349469488,CN,fyn-sh3
0.3,0.9480207079582726,0.05084295376135111,0.03701039882452153,0.9033624992665791,0.06977609567584563,0.052653824954804286,LER,fyn-sh3
0.3,0.7151906945607321,0.12804461892577443,0.10260932095030448,0.7081106917596887,0.13022257397039774,0.10431549018073157,Additive,fyn-sh3
0.3,0.8989832906927167,0.07140410288585101,0.055116360782443766,0.8935186342387778,0.07347463165520217,0.05683513654765591,Pairwise,fyn-sh3
0.5,1.0,0.0,0.0,0.9300636777789061,0.05944313432495405,0.04503583813618255,MEI,fyn-sh3
0.5,0.9648053885039467,0.04197696807004791,0.02994509036936103,0.9465115610688805,0.05143867362297985,0.038646887120389335,VC,fyn-sh3
0.5,0.9062311083234311,0.06881445588315493,0.053157748280107255,0.9061363895819649,0.06863670342053232,0.05326476470830535,CN,fyn-sh3
0.5,0.9169590852769102,0.06469371154063759,0.04873684393044676,0.8915011264744986,0.07382430793450966,0.05627736414166816,LER,fyn-sh3
0.5,0.7058993289146978,0.13052215326329017,0.10429077165922242,0.7120515102379301,0.12875378428528206,0.103782810579624,Additive,fyn-sh3
0.5,0.8947371255186679,0.07320285984670259,0.05661708941421241,0.89561432429924,0.0727030154587816,0.056532295978398664,Pairwise,fyn-sh3
0.5,1.0,0.0,0.0,0.9264252396936503,0.06090144877649013,0.04571713948445231,MEI,fyn-sh3
0.5,0.9639430987115446,0.04253964670974997,0.030843965306912732,0.9442148506202105,0.05247162583923315,0.038972718168592775,VC,fyn-sh3
0.5,0.9100861502783443,0.0674634830414548,0.052270787755330825,0.9017854270739469,0.06997583210988109,0.05390888120952852,CN,fyn-sh3
0.5,0.9297579911553513,0.05949188251735594,0.04435337833502353,0.9078463341430979,0.06777468187362895,0.05102972292753832,LER,fyn-sh3
0.5,0.7149385729589867,0.1283891741839601,0.1029580695544783,0.7029533645800944,0.13061389379363347,0.10465185555891725,Additive,fyn-sh3
0.5,0.8987569382459272,0.07187187907394474,0.05579063911229728,0.8906628527082131,0.07409830971623654,0.05719086720841117,Pairwise,fyn-sh3
0.5,1.0,0.0,0.0,0.9284469359109749,0.06000667551431487,0.04528291623324454,MEI,fyn-sh3
0.5,0.9682891475264548,0.03985948315148265,0.0284752200111059,0.9442726699502211,0.05243257110675059,0.039132336327332706,VC,fyn-sh3
0.5,0.9085780392590338,0.06797588386261263,0.0524162303391851,0.9039061765886529,0.06940027218142918,0.0538127759061032,CN,fyn-sh3
0.5,0.9689829561639878,0.039338248219449146,0.027612646649661284,0.9327573527884275,0.05771482220627597,0.04268986497805833,LER,fyn-sh3
0.5,0.7073833916721894,0.1304494000855986,0.10472904936990306,0.7109131288938966,0.12934123542737044,0.10349625142163824,Additive,fyn-sh3
0.5,0.8971360407843316,0.07239793852959951,0.055963347069065646,0.8928124663785996,0.07364543811790328,0.0571974019820485,Pairwise,fyn-sh3
0.7,0.9999999999999998,0.0,0.0,0.9376190185113982,0.05641217730576988,0.04233699270219226,MEI,fyn-sh3
0.7,0.9648383602430654,0.04178017869227784,0.029948946452067377,0.9486826426782441,0.05067758712118523,0.03769985585952676,VC,fyn-sh3
0.7,0.9086567160213992,0.06763567702837031,0.05214063097929931,0.9073476372901583,0.0684803634693213,0.05322448245326017,CN,fyn-sh3
