,p,r2_train,rmse_train,r2_test,rmse_test,model
67,0.12843583667956207,0.9891733923707422,0.18684430566473845,0.9164053696738679,0.5204558111010574,LER
68,0.12843583667956207,0.9876094535990275,0.2019576946320626,0.7310415496685665,1.0999967567976767,MEI
69,0.12843583667956207,0.9883003416028407,0.19491760268653166,0.8383428349393187,0.7262541031887463,VC
70,0.12843583667956207,0.9876163528818608,0.20044296854401625,0.6780724966542985,1.02793454955853,CN
71,0.12843583667956207,0.9832588226408198,0.23309347889770587,0.8943558954321653,0.5888015730872201,LER
72,0.21400477469184914,0.9877182470120809,0.2012762869952542,,1.7980557932312358,MEI
73,0.21400477469184914,0.9886234911331513,0.1926053400739675,0.8798802312137527,0.6230577952236828,VC
74,0.21400477469184914,0.9874212769589762,0.20264743859371112,0.7401208529690514,0.9265587803374944,CN
75,0.21400477469184914,0.9876304745520843,0.20115341825714186,0.9170145460958541,0.5181863291558826,LER
76,0.21400477469184914,0.9878446096647289,0.20004894313782645,,1.7988015320538808,MEI
77,0.21400477469184914,0.988665427461104,0.1922465620857956,0.876666233404487,0.6362371574420272,VC
78,0.21400477469184914,0.9878141759720309,0.19915554220744947,0.7390529069263727,0.9274156601026307,CN
79,0.21400477469184914,0.9307005030888533,0.47470125202263197,0.9199545413647751,0.50884401362584,LER
80,0.21400477469184914,0.9875782433628758,0.20068747192347816,,1.8024242088378404,MEI
81,0.21400477469184914,0.9885970900649425,0.1910878276728592,0.882647057042098,0.6172027544431278,VC
82,0.21400477469184914,0.9872664143678029,0.20204917495604136,0.7336322680584557,0.9391589582953083,CN
83,0.21400477469184914,0.9888873297367504,0.18868237053973216,0.9201317799955391,0.509322477344825,LER
84,0.3565830594865191,0.987656577733221,0.19949176444758016,0.8555948628678166,0.7950688819244066,MEI
85,0.3565830594865191,0.9889246612738758,0.18786394489277256,0.9120106086999051,0.5360725501081015,VC
86,0.3565830594865191,0.9877341554446096,0.19850137162524414,0.8686398122452219,0.8060623740939857,CN
87,0.3565830594865191,0.9892334644275289,0.18523321863469377,0.9304330904429252,0.4766411706743258,LER
88,0.3565830594865191,0.987451965303687,0.20156105279772457,0.8538057726023582,0.7922415162940027,MEI
89,0.3565830594865191,0.9887152777279887,0.18982514566810227,0.9118696723060439,0.5363684706859235,VC
90,0.3565830594865191,0.9875304008289639,0.20052563643311894,0.8675391110219217,0.8025266109350769,CN
91,0.3565830594865191,0.9890517479564631,0.1869087895003225,0.9322124182818834,0.47028922020586345,LER
92,0.3565830594865191,0.9879587475677584,0.19893160063844956,0.8533335730954693,0.7916633717718558,MEI
93,0.3565830594865191,0.9892529492391674,0.18668934202827853,0.9102559034660876,0.5387965658437655,VC
94,0.3565830594865191,0.9867014396306115,0.20800480852033748,0.785715894703161,0.8421261811397261,CN
95,0.3565830594865191,0.9891453598298683,0.18774796589224169,0.9302448550936075,0.4749862799809951,LER
96,0.5941525299884314,0.9877858434344116,0.20031114765719013,0.8957873667041032,0.648533130016513,MEI
97,0.5941525299884314,0.989302449595439,0.18622328437632066,0.9268561648469305,0.48614134362024475,VC
98,0.5941525299884314,0.9878933462740963,0.19922536257004567,0.9125503594881152,0.5568137819833376,CN
99,0.5941525299884314,0.989532797410334,0.18420734353752152,0.9366381282430727,0.4524263881879633,LER
100,0.5941525299884314,0.9880215794558787,0.1997378109421693,0.89201056368118,0.6465963829749278,MEI
101,0.5941525299884314,0.9892155877987027,0.18826111394964137,0.9239401695705587,0.49114963400031747,VC
102,0.5941525299884314,0.9881243548526215,0.1986884051673102,0.9097646376837479,0.5546289926770022,CN
103,0.5941525299884314,0.9892236303228615,0.18825471799615764,0.9339201987309872,0.4574445411115345,LER
104,0.5941525299884314,0.9878045701367285,0.2003368054957506,0.8951436720797539,0.6500784582763027,MEI
105,0.5941525299884314,0.9892831345863665,0.1865310639412255,0.9252546589142182,0.4909241974896816,VC
106,0.5941525299884314,0.9879111532204207,0.1992609460314426,0.9113144437564424,0.5585825576361475,CN
107,0.5941525299884314,0.9894711468559688,0.18490021113400806,0.9357076827749776,0.4552451697665556,LER
108,0.99,0.9878036905010003,0.20004253652610182,0.9205945657712019,0.5145373340937637,MEI
109,0.99,0.9895956406194898,0.1836014710664861,0.9362075223432569,0.43781552609726415,VC
110,0.99,0.9855057418433927,0.2170291877452436,0.8984304259184671,0.5537773667672635,CN
111,0.99,0.9897383395941365,0.1823384975062018,0.9391771558665527,0.4273453478658953,LER
112,0.99,0.9877872316887526,0.20003886021322947,0.9323805474297774,0.5160226982730752,MEI
113,0.99,0.9895853153487734,0.18358732563548,0.9426206956449501,0.4361129951673416,VC
114,0.99,0.9879800550603635,0.19829175968721904,0.9223474640788074,0.5073826303997114,CN
115,0.99,0.9897286374424977,0.1823201052060409,0.9462552694116521,0.4220522043387135,LER
116,0.99,0.9877781182568823,0.20009810144997464,0.931064407330817,0.5550060185069119,MEI
117,0.99,0.9895748458606847,0.1836388649973744,0.9431941241748396,0.4464717233678704,VC
118,0.99,0.9855805382956799,0.2162777827714328,0.9017399945712944,0.5835200449859249,CN
119,0.99,0.9897172802282981,0.18238050670588196,0.9491170900861413,0.4228934360140986,LER
