d,n,emp_cor,pred_cor,d_jittered,seq
4,117058.0,0.02388330855450504,0.023896109158540377,4.029850290506624,10100110
5,353190.0,0.005686780788096923,0.004599264788094401,5.009882811945399,10100111
3,39090.0,0.10202088961746056,0.09376462234223368,2.991106696761252,10101000
4,117460.0,0.024789672345324604,0.01630426516794324,3.9699531182620063,10101001
4,116756.0,-0.055323709068336856,-0.05981269127870061,3.9466341800582665,10101010
5,350782.0,-0.08192859635069197,-0.07887666579495571,5.047322464171395,10101011
4,117566.0,-0.011361681882269914,-0.004445644680219975,3.962315462738627,10101100
5,352406.0,-0.0862232065097308,-0.0805671850351561,4.9776516346807576,10101101
5,352334.0,-0.037326032411269604,-0.039680155999298555,4.9382565433029075,10101110
6,1055362.0,-0.05843747723397122,-0.05877646004482269,5.998463868444115,10101111
3,39110.0,0.15372898181213981,0.1415266991822616,3.01666340625738,10110000
4,117042.0,0.06797264199865216,0.06361328739484978,4.067967683415786,10110001
4,117164.0,-0.0053512941241373,-0.012050568261092963,4.0116184603392355,10110010
5,352198.0,-0.03210765450000947,-0.031458143217094274,4.97095845626102,10110011
4,117670.0,0.014777321474898639,0.018576272320033803,4.023693332076272,10110100
5,353236.0,-0.06526524954568493,-0.05774063737592652,5.024443890841148,10110101
5,352404.0,-0.016643522729944748,-0.016630421884328384,4.969296064895897,10110110
6,1055726.0,-0.038730815711600405,-0.03592726625477441,5.925528929261087,10110111
4,117952.0,0.11494793780926645,0.10191859840386557,4.002213742695871,10111000
5,352190.0,0.031381049469152704,0.02445824122957518,4.950639047119345,10111001
5,352754.0,-0.05199043308916646,-0.051658715217068656,5.020913121276955,10111010
6,1057150.0,-0.0752097497203256,-0.07072268973332382,5.982187250310167,10111011
5,352772.0,0.007170615546909997,0.01152988059550707,4.959414315625136,10111100
6,1056680.0,-0.06975361687335462,-0.06459165975942907,5.885063557416253,10111101
6,1056740.0,-0.02182800018636798,-0.023704630723571526,6.025338430896851,10111110
7,3172266.0,-0.045936523585000555,-0.04280093476909565,6.972023926910768,10111111
2,13164.0,0.42972788836114684,0.4401983024495759,1.9644626912815828,11000000
3,39040.0,0.42250875442733316,0.42905697380294927,3.0398733175583614,11000001
3,39000.0,0.3675428063391973,0.36425704352232857,2.9422247794425664,11000010
4,117178.0,0.3930930161298548,0.37425777938904314,4.0472720554197315,11000011
3,38936.0,0.11791996106138773,0.10028056031909136,2.9488530452732253,11000100
4,117632.0,0.0915046855220378,0.09132407961924736,3.93601264910745,11000101
4,117438.0,0.11339059358983161,0.11549158436898334,4.066112855738575,11000110
5,351368.0,0.1248471472033018,0.12585568584878082,5.026835439529283,11000111
3,39726.0,0.08179355942039432,0.09629482964568582,3.0394256103643524,11001000
4,117178.0,0.08338136601985856,0.08861753494339951,4.084214004659361,11001001
4,116940.0,0.017184201650363558,0.02428120363663874,3.986403016547294,11001010
5,351886.0,0.032060105283702636,0.035069292295158594,5.029872832916647,11001011
4,116462.0,-0.0023576602034750685,-0.009761884583386955,4.021700302297814,11001100
5,351838.0,-0.018160626127421628,-0.018149719175654184,4.965408199861201,11001101
5,351734.0,-0.003261876960934924,0.005639673754344637,4.971013463185752,11001110
6,1054742.0,0.014522890697933189,0.01630562862047624,6.004723297735876,11001111
