p,r2_train,rmse_train,mae_train,r2_test,rmse_test,mae_test,model,dataset
0.5,0.7880893647451559,10.014510967132507,4.18287190173316,0.735109536310399,11.253609809654032,4.83741011892169,LER,smn1
0.5,0.15587682759623056,19.65318837121055,8.801382101598822,0.14508096016880392,20.133563752238405,8.923507377099313,Additive,smn1
0.5,0.4784658978889131,16.114290809041382,7.873270885941005,0.46677763926191956,16.664100986729867,8.052102672281197,Pairwise,smn1
0.5,0.8993019385806575,7.7231995563187485,2.9490672572353764,0.7377023462978657,11.02898669838954,5.380449287982309,VC,smn1
0.5,0.7770948573204711,10.914747478517208,4.525118629013161,0.7147781914844393,11.793936702978762,5.10303038141639,CN,smn1
0.5,0.8473515260910637,8.799001309058571,3.4979391868255068,0.7647453823038408,10.446360226219332,4.435662206700878,LER,smn1
0.5,0.15002313709286116,19.87942182206369,8.875214081003374,0.14944186458117034,19.915568623185695,8.939267319380788,Additive,smn1
0.5,0.48042701790204245,16.285770576812833,7.932759199014012,0.4666497456904677,16.39896658295991,8.105027025657247,Pairwise,smn1
0.7,0.8830574946324464,8.04922680556221,3.1628906401840955,0.7858356161880491,9.890811793590103,4.858166251592397,VC,smn1
0.7,0.7826194138179252,10.730640680062407,4.362347712729446,0.7500199791190665,10.959672049768173,4.831290984173286,CN,smn1
0.7,0.8198828128916196,9.432240552017278,3.7214109433166382,0.7769246105902984,10.101730787336416,4.338475223226166,LER,smn1
0.7,0.15478000016085391,19.76817120186152,9.384272537131606,0.14407817246561505,19.363018960335616,9.42292573151214,Additive,smn1
0.7,0.4794955560739024,15.812324943610294,8.398148718142037,0.4675894101692802,15.517378550162508,8.44764417231645,Pairwise,smn1
0.7,0.8866765128718588,7.974875136700759,3.180604544125558,0.7739957201455332,9.864701867765746,4.830080544699853,VC,smn1
0.7,0.7853383548325847,10.695162568730616,4.413769272120145,0.7482319131880426,10.70252061909424,4.728373601170034,CN,smn1
0.7,0.9202578365287756,6.531235422806766,2.301402036970153,0.8338089975063839,8.3977167973229,3.609539623330787,LER,smn1
0.7,0.15454637781332908,19.884842610560863,9.558500060387395,0.14188279944013793,19.04811424199919,9.279303114376443,Additive,smn1
0.7,0.4826981091999322,15.849761914402542,8.469502979041426,0.4555322333028555,15.33705027140627,8.357428346627852,Pairwise,smn1
0.7,0.8879740411476104,7.946114769852709,3.1086227720402744,0.7649720422150664,9.95700741176648,4.792178962863074,VC,smn1
0.7,0.7925546130947564,10.634395680387174,4.343450130278383,0.7366116079895352,10.764074275941539,4.6791400761470525,CN,smn1
0.7,0.9113553383833433,6.856015789908127,2.4831490249903596,0.8216918124287562,8.609572177598135,3.6060682602558436,LER,smn1
0.7,0.154378627518664,20.027528474395158,9.63946026260302,0.14072601114156455,18.66954558921086,9.18254341642203,Additive,smn1
0.7,0.48823190310776254,15.876858489860009,8.518570644149971,0.44838617253817104,15.097670367427519,8.282675002996859,Pairwise,smn1
0.95,0.8786853768676386,7.9404369281014695,3.22853983470367,0.7771010969191883,11.93241374401826,4.860369640443527,VC,smn1
0.95,0.7875229687806854,10.427827075546091,4.312046334064319,0.7838353855176299,12.748496894061809,4.920110824967947,CN,smn1
0.95,0.9352060774495521,5.853807742786064,1.9309663350034072,0.8481232863100555,9.912217233432848,3.7083165673527736,LER,smn1
0.95,0.15147552078676885,19.414166725332628,9.95180464048149,0.14133421040825267,21.0983933860284,10.071028837307642,Additive,smn1
0.95,0.4780787131941435,15.254474208458705,8.812985548491712,0.4664949520495115,16.98569068627149,8.863600629959539,Pairwise,smn1
0.95,0.8768945973822526,8.058270178021974,3.259768819490864,0.8158870043838893,8.283604438313807,4.041012791777157,VC,smn1
0.95,0.7856138218521279,10.590070090996713,4.369779903015451,0.7712451852979604,9.366712311681528,4.110553784634686,CN,smn1
0.95,0.8902894318065834,7.408893985019691,2.803682825176205,0.8795781238275102,6.725152784692335,3.023910248793719,LER,smn1
0.95,0.1504589842789259,19.590158455907325,10.020901865606012,0.15898773704942135,17.64005885161174,9.276708409451201,Additive,smn1
0.95,0.476325320149722,15.41476010489732,8.891080429888042,0.49057795807458787,13.676306784982769,8.203497388986193,Pairwise,smn1
0.95,0.8877703821014185,7.721889077087437,2.9897739175155897,0.8265273374435317,10.628921430723423,4.803098203016602,VC,smn1
0.95,0.7820773657915323,10.56521520081074,4.335017907037356,0.7968133187268284,12.25569216788163,5.169136650959671,CN,smn1
0.95,0.8907519124462704,7.326985604242926,2.7576615148339814,0.8488739000518377,9.575281448318627,3.999350966400347,LER,smn1
0.95,0.14994253758465115,19.392642842184646,9.87272378157631,0.16791493291742088,21.5879580132314,10.78784854419989,Additive,smn1
0.95,0.47522815792327683,15.274793529102155,8.753164318929395,0.5088242322313786,16.817808270568992,9.609755518114914,Pairwise,smn1
