d,cov,cor,d_jittered,seq
4,0.14390992417195142,0.038219512760718624,4.010413748903843,01010110
5,0.028170077683967256,0.007481392612134139,5.0488319518241855,01010111
3,0.5252018552366351,0.13948279886650072,3.01781831985872,01011000
4,0.2325372593710342,0.06175710815645039,4.035328658409598,01011001
4,0.02356774705732865,0.006259108359495058,4.000525001036041,01011010
5,-0.09198634273371593,-0.024429678635104937,5.089293524695292,01011011
4,0.35335567493208964,0.09384399168331667,4.006345604635181,01011100
5,0.05992905742303346,0.015915923714758553,5.020099468172235,01011101
5,0.028071101923079343,0.007455106687949109,5.094157534852813,01011110
6,-0.08756091291214824,-0.023254375593912472,5.932612046942878,01011111
2,0.7652500050559463,0.20323464487709164,1.9364757500757133,01100000
3,0.46955073432012445,0.12470300700533994,3.0484698354079005,01100001
3,0.4382564413790689,0.11639188714838532,2.941343829744292,01100010
4,0.3219890672637344,0.08551366652374848,4.097181059282464,01100011
3,0.438256441379069,0.11639188714838535,2.9793190509620127,01100100
4,0.1439099241719513,0.038219512760718596,3.962627259427962,01100101
4,0.18866199687916743,0.05010474182843996,4.09614710132402,01100110
5,0.07270784301146997,0.019309706052383656,5.074025739571721,01100111
3,0.4695507343201244,0.12470300700533993,3.0933779480213284,01101000
4,0.17568030980738134,0.046657073034570305,4.04530223291377,01101001
4,0.14390992417195142,0.038219512760718624,3.956938715747265,01101010
5,0.028170077683967256,0.007481392612134139,5.0955032476549516,01101011
4,0.32198906726373444,0.08551366652374849,3.986599831452431,01101100
5,0.02817007768396729,0.007481392612134148,5.040122819789819,01101101
5,0.07270784301146989,0.01930970605238363,5.047362598388688,01101110
6,-0.04303701546827941,-0.011429745178016973,5.992249495345458,01101111
3,0.4695507343201243,0.1247030070053399,3.030703968517304,01110000
4,0.1756803098073814,0.04665707303457032,4.046110333578326,01110001
4,0.14390992417195142,0.038219512760718624,4.018821276557781,01110010
5,0.02817007768396729,0.007481392612134148,4.94502996047079,01110011
4,0.3219890672637344,0.08551366652374848,4.014911908710303,01110100
5,0.028170077683967305,0.007481392612134151,5.066319294834352,01110101
5,0.07270784301146989,0.01930970605238363,4.965271607013432,01110110
6,-0.04303701546827941,-0.011429745178016973,5.992518272983617,01110111
4,0.35335567493208975,0.0938439916833167,3.978242322413918,01111000
5,0.05992905742303346,0.015915923714758553,5.092463186423967,01111001
5,0.028071101923079322,0.007455106687949103,5.0336147378506215,01111010
6,-0.08756091291214825,-0.023254375593912475,6.020373091812056,01111011
5,0.28233382550163977,0.07498205081151427,4.961504196277734,01111100
6,-0.011261380033056363,-0.002990790665433392,6.026962459564591,01111101
6,0.03319609166843587,0.008816198440990158,5.966283366967131,01111110
7,-0.08246875946687869,-0.021902004486076473,7.0015915279137175,01111111
1,2.5815444616001266,0.6856050551079282,0.968207696081056,10000000
2,2.2589726366007814,0.5999366201285591,2.033821664747325,10000001
2,1.5097997680682411,0.40097173168451195,2.028829540830747,10000010
3,1.3906419396534708,0.36932586591227873,2.9895850622211,10000011
2,0.8201807024429909,0.21782310708231672,2.0198003356330823,10000100
3,0.5252018552366347,0.1394827988665006,2.945346924563475,10000101
3,0.4695507343201239,0.12470300700533979,2.9254371203647196,10000110
4,0.3533556749320896,0.09384399168331665,4.021969585063227,10000111
2,1.5675832220986228,0.41631782731606676,2.0083336747686262,10001000
3,1.2669528168702249,0.33647658165494093,3.0317515718446053,10001001
3,0.5266867304929916,0.13987715116106927,3.119157238743197,10001010
4,0.41101487730273095,0.10915708863238097,4.047223974349521,10001011
3,0.5266867304929916,0.13987715116106927,2.954358888727792,10001100
4,0.23253725937103406,0.06175710815645035,4.055850814404793,10001101
4,0.1756803098073814,0.04665707303457032,3.934204629474424,10001110
5,0.059929057423033436,0.015915923714758546,4.976920769759264,10001111
2,1.5675832220986228,0.41631782731606676,1.9965879197337684,10010000
3,1.2669528168702249,0.33647658165494093,3.0856671360824683,10010001
3,0.5266867304929918,0.1398771511610693,2.962762258897578,10010010
4,0.41101487730273106,0.109157088632381,3.958678073067049,10010011
3,0.5266867304929916,0.13987715116106927,2.995077373778728,10010100
4,0.23253725937103406,0.06175710815645035,3.9668260856818947,10010101
4,0.17568030980738145,0.04665707303457034,4.056331796105326,10010110
5,0.059929057423033436,0.015915923714758546,4.9460034245818285,10010111
3,1.266952816870225,0.336476581654941,2.942626567379445,10011000
4,0.9697222656694294,0.2575382672206933,3.9781089977627784,10011001
4,0.23253725937103403,0.061757108156450344,3.9750983774653847,10011010
5,0.11716267455626415,0.03111599398754892,5.096476602690849,10011011
4,0.41101487730273095,0.10915708863238097,4.047471040346288,10011100
5,0.117162674556264,0.031115993987548878,5.004377562069259,10011101
5,0.05992905742303339,0.015915923714758532,4.938728224058492,10011110
6,-0.05570578327689359,-0.014794309058582773,6.042218148820077,10011111
2,0.8201807024429909,0.21782310708231672,1.9499892326305217,10100000
3,0.5252018552366347,0.1394827988665006,2.9227614451611195,10100001
3,0.469550734320124,0.12470300700533982,3.059401489617615,10100010
4,0.35335567493208964,0.09384399168331667,4.015847130596242,10100011
